order_id,customer_id,product_id,order_date,quantity,unit_price,payment_status
1001,21,105,2028-03-29,1,1999.0,Paid
1002,71,109,2025-03-04,2,2499.0,Paid
1003,86,105,2025-09-12,5,1999.0,Paid
1004,42,101,2026-10-14,2,249.0,Pending
1005,24,107,2026-04-05,3,799.0,Paid
1006,40,106,2027-12-16,2,349.0,Paid
1007,54,108,2026-09-10,2,149.0,Paid
1008,90,109,2026-08-28,5,2499.0,Paid
1009,66,107,2027-06-27,5,799.0,Paid
1010,97,103,2025-05-22,5,1299.0,Paid
1011,83,102,2025-07-04,2,599.0,Paid
1012,98,107,2026-07-14,5,799.0,Paid
1013,90,110,2027-01-13,4,499.0,Paid
1014,18,101,2026-06-02,1,249.0,Paid
1015,98,105,2026-02-17,3,1999.0,Paid
1016,53,103,2027-04-23,4,1299.0,Paid
1017,70,109,2026-07-31,2,2499.0,Paid
1018,92,105,2026-07-10,5,1999.0,Paid
1019,20,106,2026-07-11,2,349.0,Paid
1020,25,101,2027-12-15,5,249.0,Paid
1021,33,102,2025-07-31,3,599.0,Failed
1022,49,104,2025-11-18,1,89.0,Paid
1023,5,102,2027-06-27,1,599.0,Paid
1024,96,109,2026-08-17,2,2499.0,Paid
1025,44,109,2026-04-26,2,2499.0,Paid
1026,60,107,2028-02-22,2,799.0,Failed
1027,1,105,2025-08-23,4,1999.0,Refunded
1028,90,106,2027-10-15,4,349.0,Failed
1029,51,102,2027-06-23,2,599.0,Paid
1030,83,101,2026-04-28,5,249.0,Paid
1031,63,104,2026-04-27,1,89.0,Paid
1032,85,101,2027-01-12,2,249.0,Paid
1033,33,106,2025-08-13,1,349.0,Paid
1034,87,108,2025-10-24,2,149.0,Paid
1035,14,110,2028-01-16,4,499.0,Paid
1036,49,107,2026-05-07,2,799.0,Paid
1037,44,107,2026-10-31,3,799.0,Paid
1038,55,101,2026-10-01,1,249.0,Paid
1039,24,102,2026-04-29,2,599.0,Paid
1040,68,108,2027-03-31,2,149.0,Paid
1041,17,108,2026-07-03,2,149.0,Failed
1042,50,108,2024-12-13,5,149.0,Paid
1043,37,109,2027-01-29,1,2499.0,Refunded
1044,99,103,2026-09-22,4,1299.0,Paid
1045,91,107,2026-09-15,1,799.0,Paid
1046,91,107,2026-02-11,3,799.0,Failed
1047,17,105,2026-12-30,4,1999.0,Paid
1048,10,108,2027-07-06,2,149.0,Paid
1049,83,101,2025-12-25,5,249.0,Paid
1050,64,106,2025-09-08,1,349.0,Paid
1051,64,109,2026-11-08,5,2499.0,Paid
1052,19,102,2026-05-26,2,599.0,Paid
1053,23,104,2025-01-04,4,89.0,Paid
1054,46,104,2026-04-07,5,89.0,Paid
1055,91,102,2027-11-05,4,599.0,Paid
1056,72,109,2028-01-18,3,2499.0,Failed
1057,22,106,2026-10-28,2,349.0,Paid
1058,91,105,2026-06-23,4,1999.0,Paid
1059,58,101,2026-05-21,4,249.0,Paid
1060,51,102,2027-10-15,1,599.0,Paid
1061,89,105,2027-11-05,2,1999.0,Failed
1062,87,104,2025-03-23,3,89.0,Paid
1063,16,109,2026-03-08,3,2499.0,Paid
1064,58,109,2028-01-06,1,2499.0,Paid
1065,12,105,2027-04-17,1,1999.0,Failed
1066,48,105,2025-05-04,1,1999.0,Failed
1067,57,103,2027-02-21,3,1299.0,Paid
1068,66,106,2026-06-09,2,349.0,Paid
1069,95,109,2027-02-23,4,2499.0,Paid
1070,15,102,2025-07-26,4,599.0,Pending
1071,38,101,2026-05-12,3,249.0,Pending
1072,19,105,2026-10-05,2,1999.0,Paid
1073,2,107,2027-05-25,5,799.0,Paid
1074,95,103,2026-08-14,5,1299.0,Paid
1075,74,110,2025-11-22,5,499.0,Paid
1076,63,101,2025-01-10,3,249.0,Paid
1077,98,106,2024-09-26,2,349.0,Paid
1078,34,102,2027-08-25,3,599.0,Pending
1079,32,110,2027-01-29,2,499.0,Failed
1080,82,103,2025-06-20,2,1299.0,Failed
1081,95,103,2026-06-23,3,1299.0,Pending
1082,12,104,2026-11-22,3,89.0,Paid
1083,98,107,2024-12-05,1,799.0,Pending
1084,84,104,2026-11-14,4,89.0,Paid
1085,70,104,2026-06-25,1,89.0,Paid
1086,65,106,2025-10-29,3,349.0,Pending
1087,41,106,2026-07-01,5,349.0,Paid
1088,64,106,2027-01-08,1,349.0,Paid
1089,24,103,2026-02-08,5,1299.0,Refunded
1090,43,101,2026-01-05,1,249.0,Paid
1091,65,106,2025-09-04,4,349.0,Paid
1092,93,102,2027-09-30,4,599.0,Failed
1093,81,105,2026-09-04,1,1999.0,Paid
1094,35,109,2026-01-07,5,2499.0,Paid
1095,86,104,2026-07-07,3,89.0,Paid
1096,31,106,2027-01-26,5,349.0,Paid
1097,30,105,2026-03-18,5,1999.0,Paid
1098,41,106,2026-11-11,4,349.0,Paid
1099,64,103,2027-01-26,2,1299.0,Paid
1100,79,103,2026-12-08,5,1299.0,Paid
1101,83,109,2026-07-06,1,2499.0,Paid
1102,49,107,2025-08-11,5,799.0,Paid
1103,86,108,2025-07-15,4,149.0,Paid
1104,1,109,2025-09-05,4,2499.0,Pending
1105,42,102,2026-05-08,3,599.0,Paid
1106,67,110,2028-01-14,3,499.0,Paid
1107,33,105,2026-03-09,2,1999.0,Pending
1108,86,101,2025-01-17,1,249.0,Paid
1109,4,110,2027-01-15,1,499.0,Paid
1110,95,110,2028-03-03,2,499.0,Paid
1111,17,108,2026-10-19,4,149.0,Paid
1112,53,101,2027-12-05,1,249.0,Pending
1113,25,103,2027-01-30,5,1299.0,Paid
1114,85,104,2026-10-28,1,89.0,Paid
1115,23,109,2026-02-14,5,2499.0,Paid
1116,74,110,2026-02-05,5,499.0,Paid
1117,88,108,2027-10-14,2,149.0,Paid
1118,5,108,2027-03-25,3,149.0,Pending
1119,74,105,2026-08-23,5,1999.0,Paid
1120,44,105,2025-08-27,4,1999.0,Paid
1121,85,104,2026-01-23,3,89.0,Paid
1122,75,102,2027-08-13,2,599.0,Paid
1123,86,103,2025-09-16,2,1299.0,Paid
1124,89,106,2027-07-27,5,349.0,Paid
1125,58,104,2026-05-10,4,89.0,Paid
1126,15,101,2027-01-23,5,249.0,Paid
1127,67,106,2026-04-12,3,349.0,Pending
1128,74,109,2026-01-12,5,2499.0,Pending
1129,21,108,2026-12-24,2,149.0,Paid
1130,95,101,2027-10-08,4,249.0,Paid
1131,55,107,2027-05-06,2,799.0,Pending
1132,8,110,2025-07-22,5,499.0,Paid
1133,10,110,2027-01-21,5,499.0,Paid
1134,42,107,2026-02-09,2,799.0,Pending
1135,17,101,2026-03-26,3,249.0,Paid
1136,69,108,2026-07-09,3,149.0,Paid
1137,100,105,2025-12-25,4,1999.0,Paid
1138,8,108,2025-06-05,1,149.0,Paid
1139,79,106,2026-01-07,2,349.0,Paid
1140,32,101,2027-10-07,1,249.0,Failed
1141,95,101,2026-12-19,5,249.0,Paid
1142,59,108,2025-04-26,1,149.0,Paid
1143,62,108,2025-08-01,3,149.0,Pending
1144,49,110,2025-06-28,5,499.0,Refunded
1145,5,103,2026-03-21,3,1299.0,Paid
1146,71,105,2024-10-06,5,1999.0,Paid
1147,97,107,2025-10-29,2,799.0,Paid
1148,24,104,2027-02-18,1,89.0,Paid
1149,62,110,2025-10-25,1,499.0,Pending
1150,19,101,2026-07-24,3,249.0,Paid
1151,47,106,2026-07-18,1,349.0,Paid
1152,84,101,2027-03-16,4,249.0,Pending
1153,40,107,2026-08-31,3,799.0,Paid
1154,97,103,2026-01-23,4,1299.0,Paid
1155,19,105,2026-06-09,5,1999.0,Pending
1156,32,108,2027-06-13,4,149.0,Paid
1157,64,105,2027-03-06,3,1999.0,Pending
1158,2,105,2026-02-03,4,1999.0,Paid
1159,80,110,2027-08-04,5,499.0,Paid
1160,76,101,2026-07-24,4,249.0,Pending
1161,95,108,2026-12-01,2,149.0,Paid
1162,51,106,2026-12-07,3,349.0,Failed
1163,25,109,2027-03-29,1,2499.0,Paid
1164,17,102,2026-04-04,2,599.0,Paid
1165,82,109,2026-03-05,2,2499.0,Paid
1166,79,108,2027-09-07,4,149.0,Pending
1167,8,105,2025-06-17,2,1999.0,Paid
1168,62,105,2025-08-27,5,1999.0,Paid
1169,81,109,2027-09-11,3,2499.0,Paid
1170,76,106,2027-02-28,3,349.0,Paid
1171,90,105,2026-09-22,3,1999.0,Paid
1172,85,106,2025-10-20,1,349.0,Paid
1173,69,104,2026-06-12,2,89.0,Paid
1174,44,110,2025-10-05,5,499.0,Paid
1175,30,104,2026-02-21,3,89.0,Paid
1176,69,105,2026-06-06,1,1999.0,Paid
1177,82,105,2025-02-27,1,1999.0,Refunded
1178,100,105,2026-06-21,2,1999.0,Paid
1179,98,102,2026-01-01,1,599.0,Paid
1180,39,108,2027-06-08,4,149.0,Paid
1181,34,105,2025-12-03,4,1999.0,Paid
1182,61,107,2026-02-19,4,799.0,Paid
1183,26,101,2027-10-08,2,249.0,Paid
1184,83,105,2026-12-14,1,1999.0,Refunded
1185,23,109,2025-02-25,4,2499.0,Paid
1186,65,104,2026-06-11,5,89.0,Paid
1187,34,105,2027-01-08,5,1999.0,Refunded
1188,89,110,2027-04-13,5,499.0,Paid
1189,7,104,2025-06-26,2,89.0,Paid
1190,32,103,2026-03-02,2,1299.0,Paid
1191,66,103,2026-01-21,1,1299.0,Paid
1192,74,108,2026-07-10,3,149.0,Paid
1193,2,105,2026-08-29,4,1999.0,Paid
1194,65,105,2025-05-13,5,1999.0,Paid
1195,81,107,2026-09-12,1,799.0,Paid
1196,53,103,2027-11-27,3,1299.0,Pending
1197,68,101,2025-12-10,2,249.0,Pending
1198,1,110,2026-10-01,3,499.0,Paid
1199,47,105,2026-01-01,4,1999.0,Failed
1200,21,109,2027-10-07,4,2499.0,Paid
1201,31,101,2026-11-19,4,249.0,Paid
1202,69,105,2027-08-15,1,1999.0,Paid
1203,53,110,2027-12-24,5,499.0,Refunded
1204,74,105,2026-09-28,5,1999.0,Paid
1205,71,108,2025-03-08,5,149.0,Paid
1206,39,103,2026-11-24,5,1299.0,Paid
1207,4,102,2027-02-01,4,599.0,Paid
1208,83,106,2026-04-23,1,349.0,Pending
1209,70,107,2026-10-07,4,799.0,Paid
1210,96,109,2027-07-23,1,2499.0,Paid
1211,84,105,2027-02-17,3,1999.0,Paid
1212,65,109,2025-11-03,1,2499.0,Paid
1213,21,108,2027-11-19,4,149.0,Paid
1214,59,106,2026-06-01,5,349.0,Pending
1215,93,108,2028-01-25,1,149.0,Paid
1216,51,103,2027-10-01,3,1299.0,Paid
1217,22,102,2027-08-11,1,599.0,Refunded
1218,3,104,2026-04-28,2,89.0,Paid
1219,65,109,2024-09-30,4,2499.0,Paid
1220,34,108,2026-02-05,1,149.0,Paid
1221,34,108,2026-03-18,3,149.0,Paid
1222,94,107,2026-08-02,4,799.0,Refunded
1223,33,108,2026-03-18,5,149.0,Paid
1224,6,110,2026-08-22,5,499.0,Paid
1225,41,102,2026-02-05,3,599.0,Pending
1226,75,106,2027-04-06,5,349.0,Paid
1227,78,105,2024-11-09,3,1999.0,Pending
1228,20,108,2027-09-21,2,149.0,Paid
1229,94,106,2027-03-06,3,349.0,Paid
1230,88,107,2027-10-09,4,799.0,Failed
1231,100,104,2025-06-13,5,89.0,Paid
1232,55,101,2026-08-04,3,249.0,Paid
1233,48,107,2026-01-12,2,799.0,Paid
1234,27,103,2026-03-05,5,1299.0,Refunded
1235,81,102,2027-01-27,4,599.0,Paid
1236,86,101,2025-11-30,2,249.0,Paid
1237,4,103,2027-07-18,1,1299.0,Paid
1238,80,106,2027-01-12,5,349.0,Paid
1239,99,102,2027-11-19,3,599.0,Pending
1240,49,107,2026-07-08,3,799.0,Paid
1241,32,109,2027-04-22,1,2499.0,Paid
1242,84,105,2026-11-27,2,1999.0,Paid
1243,1,102,2026-04-19,1,599.0,Paid
1244,6,101,2026-12-11,1,249.0,Paid
1245,12,105,2025-11-23,3,1999.0,Paid
1246,53,104,2026-07-01,5,89.0,Paid
1247,24,103,2027-04-15,2,1299.0,Paid
1248,12,107,2027-06-13,5,799.0,Paid
1249,15,110,2026-10-26,2,499.0,Paid
1250,99,105,2027-11-07,4,1999.0,Paid
1251,66,108,2025-11-15,3,149.0,Paid
1252,18,102,2025-04-23,4,599.0,Failed
1253,64,105,2027-03-01,4,1999.0,Paid
1254,83,105,2026-08-27,2,1999.0,Refunded
1255,16,102,2026-04-23,2,599.0,Paid
1256,65,110,2025-09-18,3,499.0,Refunded
1257,71,101,2025-07-09,4,249.0,Paid
1258,94,101,2027-05-29,5,249.0,Paid
1259,24,104,2026-03-06,5,89.0,Pending
1260,76,104,2026-03-26,5,89.0,Paid
1261,87,103,2026-11-18,1,1299.0,Failed
